corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot
ELTeC-slv	SLV10003	SLV10003	Cigler, Janez	Sreča v nesreči	1792	1867	M	viaf:247997342	1836	NA	2007	1836	NA	NA	sl	33829	NA	NA	short	high	T1
ELTeC-slv	SLV20001	SLV20001	Kočevar, Ferdo	Mlinarjev Janez	1833	1878	M	viaf:172466996	1859	NA	2019	1859	NA	NA	sl	31867	NA	NA	short	high	T1
ELTeC-slv	SLV10007	SLV10007	Jurčič, Josip	Deseti brat	1844	1881	M	viaf:54483391	1866	NA	2008	1866	NA	NA	sl	66801	NA	NA	medium	high	T2
ELTeC-slv	SLV10023	SLV10023	Stritar, Josip	Zorin	1836	1923	M	viaf:70948422	1870	NA	2011	1870	NA	NA	sl	28150	NA	NA	short	high	T2
ELTeC-slv	SLV00122	SLV00122	Podmilšak, Josip	Žalost in veselje	1845	1874	M	viaf:305144647704454014387	1870	NA	2015-04-03	1870	NA	NA	sl	77352	NA	NA	medium	low	T2
ELTeC-slv	SLV10010	SLV10010	Jurčič, Josip	Ivan Erazem Tatenbah	1844	1881	M	viaf:54483391	1873	NA	2008	1873	NA	NA	sl	22555	NA	NA	short	high	T2
ELTeC-slv	SLV10024	SLV10024	Stritar, Josip	Sodnikovi	1836	1923	M	viaf:70948422	1875	NA	2009	1875	NA	NA	sl	51178	NA	NA	medium	high	T2
ELTeC-slv	SLV10025	SLV10025	Stritar, Josip	Gospod Mirodolski	1836	1923	M	viaf:70948422	1876	NA	2013	1876	NA	NA	sl	54735	NA	NA	medium	high	T2
ELTeC-slv	SLV10008	SLV10008	Jurčič, Josip	Med dvema stoloma	1844	1881	M	viaf:54483391	1876	NA	2008	1876	NA	NA	sl	21557	NA	NA	short	high	T2
ELTeC-slv	SLV00194	SLV00194	Kersnik, Janko	Na Žerinjah	1852	1897	M	viaf:34746806	1876	NA	2015-04-03	1876	NA	NA	sl	32757	NA	NA	short	high	T2
ELTeC-slv	SLV10009	SLV10009	Jurčič, Josip	Doktor Zober	1844	1881	M	viaf:54483391	1876	NA	2008	1876	NA	NA	sl	34494	NA	NA	short	high	T2
ELTeC-slv	SLV10002	SLV10002	Carli Lukovič, Alojz	Zadnji dnevi v Ogleju	1846	1891	M	viaf:50937590	1876	NA	2009	1876	NA	NA	sl	36032	NA	NA	short	low	T2
ELTeC-slv	SLV00279	SLV00279	Jurčič, Josip	Cvet in sad	1844	1881	M	viaf:54483391	1877	NA	2015-04-03	1877	NA	NA	sl	50548	NA	NA	medium	high	T2
ELTeC-slv	SLV00099	SLV00099	Koder, Anton	Marjetica	1851	1918	M	viaf:172847595	1877	NA	2015-04-03	1877	NA	NA	sl	61988	NA	NA	medium	high	T2
ELTeC-slv	SLV10011	SLV10011	Jurčič, Josip	Lepa Vida	1844	1881	M	viaf:54483391	1877	NA	2007	1877	NA	NA	sl	21126	NA	NA	short	high	T2
ELTeC-slv	SLV00216	SLV00216	Jurčič, Josip	Rokovnjači	1844	1881	M	viaf:54483391	1881	NA	2015-04-03	1881	NA	NA	sl	49692	NA	NA	short	high	T3
ELTeC-slv	SLV00094	SLV00094	Bartel, Anton	Pomladanski vetrovi	1853	1938	M	viaf:10824798	1881	NA	2015-04-03	1881	NA	NA	sl	65226	NA	NA	medium	low	T3
ELTeC-slv	SLV00363	SLV00363	Detela, Fran	Malo življenje	1850	1926	M	viaf:61405029	1882	NA	2015-04-03	1882	NA	NA	sl	56512	NA	NA	medium	low	T3
ELTeC-slv	SLV00172	SLV00172	Sket, Jakob	Milko Vogrin	1852	1912	M	viaf:93569857	1883	NA	2015-04-03	1883	NA	NA	sl	76466	NA	NA	medium	low	T3
ELTeC-slv	SLV00103	SLV00103	Koder, Anton	Zvezdana	1851	1918	M	viaf:172847595	1883	NA	2015-04-03	1883	NA	NA	sl	31108	NA	NA	short	low	T3
ELTeC-slv	SLV00098	SLV00098	Koder, Anton	Luteranci	1851	1918	M	viaf:172847595	1883	NA	2015-04-03	1883	NA	NA	sl	42385	NA	NA	short	low	T3
ELTeC-slv	SLV00058	SLV00058	Kersnik, Janko	Ciklamen	1852	1897	M	viaf:34746806	1883	NA	2015-04-03	1883	NA	NA	sl	37437	NA	NA	short	high	T3
ELTeC-slv	SLV20002	SLV20002	Sket, Jakob	Miklova Zala	1852	1912	M	viaf:93569857	1884	NA	2015	1884	NA	NA	sl	34143	NA	NA	short	high	T3
ELTeC-slv	SLV10012	SLV10012	Koder, Anton	Kmetski triumvirat	1851	1918	M	viaf:172847595	1884	NA	2011	1884	NA	NA	sl	43221	NA	NA	short	low	T3
ELTeC-slv	SLV00112	SLV00112	Detela, Fran	Veliki grof	1850	1926	M	viaf:61405029	1885	NA	2015-04-03	1885	NA	NA	sl	45377	NA	NA	short	high	T3
